IdCargoPartidario,Organizacion,TipoCargo,Cargo,AnioInicio,AnioFin,IdCandidato
1,AHORA NACION - AN,PARTIDARIO,FUNDADOR,2023,,1
2,ALIANZA ELECTORAL AHORA NACION,PARTIDARIO,PRESIDENTE,2025,2025.0,1
3,ALIANZA ELECTORAL VENCEREMOS,PARTIDARIO,CO PRESIDENTE,2025,,2
4,ALIANZA ELECTORAL VENCEREMOS,PARTIDARIO,REPRESENTANTE LEGAL,2025,,2
5,ALIANZA PARA EL PROGRESO,PARTIDARIO,DIRECCIÓN EJECUTIVA NACIONAL,2023,,3
6,ALIANZA PARA EL PROGRESO,PARTIDARIO,PRESIDENTE,2023,,3
7,ALIANZA PARA EL PROGRESO,ELECCION_POPULAR,GOBERNADOR REGIONAL,2015,2018.0,3
8,ALIANZA PARA EL PROGRESO,ELECCION_POPULAR,GOBERNADOR REGIONAL,2022,2026.0,3
9,AVANZA PAIS,ELECCION_POPULAR,CONGRESISTA,2021,2025.0,4
10,FE EN EL PERU,PARTIDARIO,FUNDADOR,2021,,5
11,FUERZA POPULAR,PARTIDARIO,FUNDADOR,2009,,6
12,FUERZA POPULAR,PARTIDARIO,PRESIDENTA,2024,,6
13,ALIANZA POR EL FUTURO,ELECCION_POPULAR,CONGRESISTA,2006,2011.0,6
14,FUERZA Y LIBERTAD,PARTIDARIO,PRESIDENTE,2025,,7
15,PARTIDO POLITICO FUERZA MODERNA,PARTIDARIO,FUNDADOR,2023,,7
16,JUNTOS POR EL PERU,PARTIDARIO,REPRESENTANTE LEGAL,2024,,8
17,JUNTOS POR EL PERU,PARTIDARIO,APODERADO,2024,,8
18,JUNTOS POR EL PERU,ELECCION_POPULAR,CONGRESISTA,2021,2025.0,8
19,LIBERTAD POPULAR,PARTIDARIO,FUNDADOR,2022,,9
20,LIBERTAD POPULAR,PARTIDARIO,PRESIDENTE,2022,,9
21,PARTIDO APRISTA PERUANO,PARTIDARIO,MIEMBRO DE LA COMISIÓN POLÍTICA,2025,,10
22,PARTIDO APRISTA PERUANO,PARTIDARIO,FUNDADOR,2022,,10
23,PARTIDO CIVICO OBRAS,PARTIDARIO,FUNDADOR,2022,,11
24,PARTIDO CIVICO OBRAS,ELECCION_POPULAR,ALCALDE PROVINCIAL,1990,1995.0,11
25,PARTIDO CIVICO OBRAS,PARTIDARIO,PRESIDENTE,2022,,11
26,ALIANZA FRENTE DE CENTRO,ELECCION_POPULAR,CONGRESISTA,2009,2011.0,11
27,PTE - PERU,PARTIDARIO,FUNDADOR,2023,,12
28,PTE - PERU,PARTIDARIO,PRESIDENTE,2023,,12
29,PARTIDO DEL BUEN GOBIERNO,PARTIDARIO,PRESIDENTE,2023,2025.0,13
30,PARTIDO DEMOCRATA UNIDO PERU,PARTIDARIO,FUNDADOR,2021,,14
31,PARTIDO DEMOCRATA UNIDO PERU,PARTIDARIO,PRESIDENTE,2021,,14
32,PARTIDO DEMOCRATA VERDE,PARTIDARIO,FUNDADOR,2021,,15
33,PARTIDO DEMOCRATA VERDE,PARTIDARIO,PRESIDENTE,2025,,15
34,PODEMOS PERU,ELECCION_POPULAR,ALCALDE DISTRITAL,2019,2022.0,15
35,PARTIDO DEMOCRATICO FEDERAL,PARTIDARIO,FUNDADOR,2023,,16
36,PARTIDO DEMOCRATICO FEDERAL,PARTIDARIO,MIEMBRO COMISIÓN POLÍTICA,2023,,16
37,PPC - UNIDAD NACIONAL,ELECCION_POPULAR,REGIDOR DISTRITAL,2011,2014.0,17
38,SOMOS PERU,ELECCION_POPULAR,ALCALDE DISTRITAL,2019,2022.0,17
39,PARTIDO FRENTE DE LA ESPERANZA 2021,PARTIDARIO,FUNDADOR,2020,,18
40,PARTIDO FRENTE DE LA ESPERANZA 2021,PARTIDARIO,PRESIDENTE DEL PARTIDO,2023,,18
41,FRENTE INDEPENDIENTE MORALIZADOR,ELECCION_POPULAR,CONGRESISTA,2000,2001.0,18
42,ACCION POPULAR,PARTIDARIO,REPRESENTANTE LEGAL,2011,2013.0,19
43,ACCION POPULAR,PARTIDARIO,PRESIDENTE,2014,2018.0,19
44,PERÚ POSIBLE,ELECCION_POPULAR,CONGRESISTA,2011,2016.0,19
45,ACCION POPULAR,ELECCION_POPULAR,GOBERNADOR(A) REGIONAL,2019,2022.0,19
46,PARTIDO PATRIOTICO DEL PERU,PARTIDARIO,PRESIDENTE FUNDADOR,2025,,21
47,PARTIDO PATRIOTICO DEL PERU,PARTIDARIO,FUNDADOR,2020,,21
48,ACCION POPULAR,PARTIDARIO,SECRETARIO GENERAL NACIONAL,2009,2011.0,22
49,ACCION POPULAR,PARTIDARIO,ADHERENTE FUNDACIONAL,2004,2023.0,22
50,ACCION POPULAR,ELECCION_POPULAR,CONGRESISTA,2016,2021.0,22
51,PERÚ POSIBLE,ELECCION_POPULAR,CONGRESISTA,2011,2016.0,22
52,PARTIDO POLITICO INTEGRIDAD DEMOCRATICA,PARTIDARIO,FUNDADOR,2023,,23
53,PARTIDO POLITICO INTEGRIDAD DEMOCRATICA,PARTIDARIO,REPRESENTANTE LEGAL,2023,,23
54,PARTIDO POLITICO NACIONAL PERU LIBRE,PARTIDARIO,SECRETARÍA GENERAL NACIONAL,2025,,24
55,PARTIDO POLITICO NACIONAL PERU LIBRE,PARTIDARIO,REPRESENTANTE LEGAL,2023,,24
56,MOVIMIENTO POLITICO REGIONAL PERU LIBRE,ELECCION_POPULAR,GOBERNADOR(A) REGIONAL,2011,2014.0,24
57,MOVIMIENTO POLITICO REGIONAL PERU LIBRE,ELECCION_POPULAR,GOBERNADOR(A) REGIONAL,2019,2022.0,24
58,PARTIDO POLITICO PERU ACCION,PARTIDARIO,PRESIDENTE FUNDADOR,2021,,25
59,PERU NACION,PARTIDARIO,PRESIDENTE,2020,2021.0,25
60,CONVERGENCIA DEMOCRATICA,ELECCION_POPULAR,DIPUTADO(A),1985,1990.0,25
61,PARTIDO POLITICO PERU PRIMERO,PARTIDARIO,MIEMBRO DE LA COMISIÓN POLÍTICA NACIONAL,2025,,26
62,PARTIDO POLITICO PRIN,PARTIDARIO,APODERADO LEGAL,2022,,27
63,PARTIDO POLITICO PRIN,PARTIDARIO,FUNDADOR,2022,,27
64,PARTIDO SICREO,PARTIDARIO,APODERADO,2023,,28
65,PARTIDO SICREO,PARTIDARIO,FUNDADOR,2023,,28
66,PODEMOS PERU,PARTIDARIO,FUNDADOR,2017,,30
67,PODEMOS PERU,PARTIDARIO,PRESIDENTE FUNDADOR,2021,,30
68,ALIANZA SOLIDARIDAD NACIONAL,ELECCION_POPULAR,CONGRESISTA,2011,2016.0,30
69,PODEMOS PERU,ELECCION_POPULAR,CONGRESISTA,2021,2025.0,30
70,PARTIDO POPULAR CRISTIANO - PPC,PARTIDARIO,SECRETARIO GENERAL NACIONAL,2017,2021.0,31
71,PARTIDO POPULAR CRISTIANO - PPC,PARTIDARIO,SECRETARÍA NACIONAL ESTRUCTURAL,2007,2011.0,31
72,PROGRESEMOS,PARTIDARIO,FUNDADOR,2024,,32
73,PROGRESEMOS,PARTIDARIO,PRESIDENTE,2024,,32
74,UN CAMINO DIFERENTE,PARTIDARIO,FUNDADOR,2024,,34
75,UN CAMINO DIFERENTE,PARTIDARIO,PERSONERO LEGAL ALTERNO,2024,2025.0,34
76,UNIDAD NACIONAL,PARTIDARIO,PRESIDENTE DEL COMITÉ EJECUTIVO,2025,,35
77,PARTIDO UNIDAD Y PAZ,PARTIDARIO,COMITÉ POLÍTICO NACIONAL - PRESIDENTE,2023,,35
78,ALIANZA PARA EL PROGRESO,ELECCION_POPULAR,CONGRESISTA,2021,2025.0,35
79,RENOVACION POPULAR,PARTIDARIO,PRESIDENTE,2025,,36
80,RENOVACION POPULAR,PARTIDARIO,REPRESENTANTE LEGAL,2019,2022.0,36
81,ALIANZA ELECTORAL UNIDAD NACIONAL,ELECCION_POPULAR,REGIDOR PROVINCIAL,2007,2010.0,36
82,RENOVACION POPULAR,ELECCION_POPULAR,ALCALDE PROVINCIAL,2022,2025.0,36
