IdEducacionBasica,IdCandidato,TieneEducacionBasica,TienePrimaria,TieneSecundaria
1,1,True,True,True
2,2,True,True,True
3,3,True,True,True
4,4,True,True,True
5,5,True,True,True
6,6,True,True,True
7,7,True,True,True
8,8,True,True,True
9,9,True,True,True
10,10,True,True,True
11,11,True,True,True
12,12,True,True,True
13,13,True,True,True
14,14,True,True,True
15,15,True,True,True
16,16,True,True,True
17,17,True,True,True
18,18,True,True,True
19,19,True,True,True
20,20,True,True,True
21,21,True,True,True
22,22,True,True,True
23,23,True,True,True
24,24,True,True,True
25,25,True,True,True
26,26,True,True,True
27,27,True,True,True
28,28,True,True,True
29,29,True,True,True
30,30,True,True,True
31,31,True,True,True
32,32,True,True,True
33,33,True,True,False
34,34,True,True,True
35,35,True,True,True
36,36,True,True,True
