IdExperiencia,CentroTrabajo,Cargo,AnioInicio,AnioFin,IdCandidato
1,Universidad Nacional de Ingeniería,RECTOR,2021,2025,1
2,Universidad Nacional de Ingeniería,DIRECTOR DE LA ESCUELA DE INGENIERÍA ECONÓMICA,2017,2019,1
3,Universidad Nacional de Ingeniería,PROFESOR PRINCIPAL,1990,2025,1
4,CONGRESO DE LA REPUBLICA,ASESOR 1,2022,2025,2
5,UNIVERSIDAD PRIVADA DEL NORTE SAC,DOCENTE,2016,2016,2
6,Centro Jurídico ATHENA,GERENTE - DOCENTE,2011,2022,2
7,UNIVERSIDAD CESAR VALLEJO,ASESOR,2019,2025,3
8,GOBIERNO REGIONAL DE LA LIBERTAD,GOBERNADOR REGIONAL,2023,2025,3
9,UNIVERSIDAD CESAR VALLEJO,PRESIDENTE DEL DIRECTORIO,1999,2019,3
10,GOBIERNO REGIONAL DE LA LIBERTAD,GOBERNADOR REGIONAL,2015,2015,3
11,MUNICIPALIDAD PROVINCIAL DE TRUJILLO,ALCALDE,2007,2014,3
12,CONGRESO DE LA REPUBLICA,CONGRESISTA,2021,2025,4
13,Municipalidad Distrital Rimac,GERENTE MUNICIPAL,2023,2023,5
14,Municipalidad Distrital La Molina,ALCALDE,2019,2022,5
15,Asociacion de Municpalidades del Perú - AMPE,PRESIDENTE,2019,2022,5
16,PBF Abogados SAC,GERENTE GENERAL,2015,2018,5
17,PAZ DE LA BARRA ABOGADOS SAC,SOCIO FUNDADOR,2012,2018,5
18,Partido Político Fuerza Popular,PRESIDENTA,2013,2025,6
19,UNIVERSIDAD CONTINENTAL,DOCENTE,2024,2025,7
20,MINISTERIO DE DEFENSA,DOCENCIA CAEN,2024,2024,7
21,SEGURO SOCIAL DE SALUD,PRESIDENTE EJECUTIVO,2018,2021,7
22,UNIVERSIDAD SEÑOR DE SIPAN S.A.C.,DECANA (E) DE LA FACULTAD DE CIENCIAS EMPRESARIALES / ASESORA DEL CONSEJO DIRECTIVO,2021,2022,7
23,MINISTERIO DE DESARROLLO E INCLUSION SOCIAL,MINISTRA,2017,2018,7
24,CONGRESO DE LA REPÚBLICA,CONGRESISTA,2021,2025,8
25,MINISTERIO DE COMERCIO EXTERIOR Y TURISMO - MINCETUR,MINISTRO,2021,2022,8
26,MUNICIPALIDAD PROVINCIAL DE HUARAL,GERENTE DE DESARROLLO SOCIAL,2020,2020,8
27,MUNICIPALIDAD DISTRITAL DE SAN BORJA,GERENTE DE LA CAPITAL HUMANO,2019,2020,8
28,MUNICIPALIDAD PROVINCIAL DE HUAURA - HUACHO,GERENTE DE ADMINISTRACIÓN Y FINANZAS,2017,2017,8
29,INMOBILIARIA FERYMAR SAC,GERENTE GENERAL,2020,2025,9
30,MINISTERIO DE ENERGIA Y MINAS,MINISTRO,2020,2020,9
31,REMEDIADORA AMBIENTAL SAC,GERENTE GENERAL,2015,2020,9
32,GLOBAL SECURITY LAW S.A.C,ANALISTA LEGAL,2023,2025,10
33,CONTRATISTAS GENERALES SAALINO S.A.C.,SUB GERENTE,2015,2019,10
34,PS INNOVA SAC,SUB GERENTE,2018,2023,10
35,RED BICOLOR DE COMUNICACIONES S.A.A,EMPRESARIO,1986,2025,11
36,MUNICIPALIDAD DE LIMA METROPOLITANA,EMPLEADO,1984,2025,12
37,MINISTERIO DE DEFENSA,MINISTRO,2016,2018,13
38,MINISTERIO DE CULTURA,MINISTRO,2016,2016,13
39,INSTITUTO INTERNACIONAL PARA LA CULTURA DEMOCRÁTICA SAC,PRESIDENTE,2011,2014,13
40,Universidad Nacional Jose Faustino Sanchez Carrion,CATEDRÁTICO,2021,2025,14
41,"INSTITUTO DE ECOLOGIA POLITICA ""ALTERNATIVA VERDE""",PRESIDENTE,2011,2014,15
42,INSTITUTO DE ESTUDIOS JURIDICOS DERECTUM,PRESIDENTE,2011,2018,15
43,MUNICIPALIDAD DISTRITAL DE SAN JUAN DE LURIGANCHO,ALCALDE DISTRITAL,2019,2022,15
