IdIngreso,RemuneracionPublica,RemuneracionPrivada,Total,IdCandidato
1,350000.0,0.0,350000.0,1
2,290119.82,0.0,290119.82,2
3,153401.0,9683365.0,9836766.0,3
4,351600.0,0.0,351600.0,4
5,0.0,341465.0,341465.0,5
6,0.0,271853.45,271853.45,6
7,8320.0,115545.13,123865.13,7
8,224945.83,0.0,224945.83,8
9,0.0,2134800.0,2134800.0,9
10,0.0,33600.0,33600.0,10
11,0.0,301514.0,301514.0,11
12,72000.0,0.0,72000.0,12
13,0.0,180000.0,180000.0,13
14,57878.0,16240.0,74118.0,14
15,0.0,36000.0,36000.0,15
16,0.0,682626.0,682626.0,16
17,0.0,244000.0,244000.0,17
18,0.0,0.0,0.0,18
19,36000.0,118941.0,154941.0,19
20,0.0,207543.0,207543.0,20
21,21259.32,165000.0,186259.32,21
22,120000.0,0.0,120000.0,22
23,122220.0,155607.0,277827.0,23
24,0.0,0.0,0.0,24
25,0.0,45000.0,45000.0,25
26,0.0,117684.0,117684.0,26
27,0.0,24000.0,24000.0,27
28,0.0,105103.0,105103.0,28
29,0.0,47158.0,47158.0,29
30,339848.64,11069190.0,11409038.64,30
31,0.0,4500000.0,4500000.0,31
32,253900.0,9600.0,263500.0,32
33,0.0,221634.0,221634.0,33
34,0.0,36520.0,36520.0,34
35,320676.0,0.0,320676.0,35
36,0.0,1897374.0,1897374.0,36
