IdPartido,NombrePartido,LogoUrl
1,TACNA 2027 - KEIKO KEIKO ,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/2980
2,ALIANZA ELECTORAL VENCEREMOS,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/3025
3,ALIANZA PARA EL PROGRESO,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/1257
4,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/2173
5,FE EN EL PERU,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/2898
6,FUERZA POPULAR,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/1366
7,FUERZA Y LIBERTAD,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/3024
8,JUNTOS POR EL PERU,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/1264
9,LIBERTAD POPULAR,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/2933
10,PARTIDO APRISTA PERUANO,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/2930
11,PARTIDO CIVICO OBRAS,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/2941
12,PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERU,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/2939
13,PARTIDO DEL BUEN GOBIERNO,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/2961
14,PARTIDO DEMOCRATA UNIDO PERU,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/2867
15,PARTIDO DEMOCRATA VERDE,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/2895
16,PARTIDO DEMOCRATICO FEDERAL,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/2986
17,PARTIDO DEMOCRATICO SOMOS PERU,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/14
18,PARTIDO FRENTE DE LA ESPERANZA 2021,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/2857
19,PARTIDO MORADO,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/2840
20,PARTIDO PAIS PARA TODOS,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/2956
21,PARTIDO PATRIOTICO DEL PERU,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/2869
22,PARTIDO POLITICO COOPERACION POPULAR,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/2995
23,PARTIDO POLITICO INTEGRIDAD DEMOCRATICA,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/2985
24,PARTIDO POLITICO NACIONAL PERU LIBRE,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/2218
25,PARTIDO POLITICO PERU ACCION,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/2932
26,PERU PRIMERO,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/2925
27,PARTIDO POLITICO PRIN,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/2921
28,PARTIDO SICREO,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/2935
29,PERU MODERNO,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/2924
30,PODEMOS PERU,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/2731
31,"PRIMERO LA GENTE - COMUNIDAD, ECOLOGIA, LIBERTAD Y PROGRESO",https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/2931
32,PROGRESEMOS,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/2967
33,SALVEMOS AL PERU,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/2927
34,UN CAMINO DIFERENTE,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/2998
35,UNIDAD NACIONAL,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/3023
36,RENOVACION POPULAR,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/22
