IdPosgrado,CentroEstudio,Especialidad,Grado,Concluido,AñoObtencion,IdCandidato
1,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,DOCTOR EN ECONOMÍA,DOCTORADO,True,2005.0,1
2,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,MAGISTER EN ECONOMÍA,MAESTRIA,True,2002.0,1
3,Pontificia Universidad Católica del Perú,MAGISTER EN DERECHO PENAL,MAESTRIA,False,2024.0,2
4,Universidad de Lima,MAGISTER EN ADMINISTRACION DE LA EDUCACION,MAESTRIA,True,1997.0,3
5,Universidad de los Andes,MAGISTER EN DIRECCIÓN UNIVERSITARIA,MAESTRIA,True,1998.0,3
6,Universidad Complutense de Madrid,DOCTOR POR LA UNIVERSIDAD COMPLUTENSE DE MADRID,DOCTORADO,True,2013.0,3
7,CAEN,MAGISTER EN DESARROLLO Y DEFENSA NACIONAL,MAESTRIA,True,2011.0,4
8,INSTITUTO DE GOBIERNO USMP,DOCTORADO GOBIERNO Y POLÍTICA PÚBLICA,DOCTORADO,False,,4
9,EUCIM BUSINESS SCHOOL,MAGISTER EN GESTIÓN PÚBLICA,MAESTRIA,True,2023.0,5
10,UNMSM,DERECHO CONSTITUCIONAL Y DD.HH.,MAESTRIA,False,,5
11,COLUMBIA UNIVERSITY,MÁSTER EN ADMINISTRACIÓN DE EMPRESAS,MAESTRIA,True,2024.0,6
12,Universidad de San Martín de Porres,DOCTORA EN GOBIERNO Y POLITICA PUBLICA,DOCTORADO,True,2012.0,7
13,UNIVERSIDAD ALCALA DE HENARES,DIRECCIÓN Y GESTIÓN DE SERVICIOS DE SALUD,MAESTRIA,True,2022.0,7
14,UNIVERSIDAD TORCUATO DI TELLA,ECONOMIA Y POLÍTICAS PÚBLICAS,MAESTRIA,True,1998.0,7
15,PUCP,MAESTRIA DE POLITICAS SOCIALES,MAESTRIA,True,,8
16,Universidad de la Rioja,MAESTRIA,MAESTRIA,False,,10
17,FACULTAD LATINOAMERICANA DE CIENCIAS SOCIALES,SOCIOLOGIA,MAESTRIA,True,1984.0,13
18,CENTRO DE ESTUDIOS SOCIOLÓGICOS DE EL COLEGIO DE MÉXICO,SOCIOLOGÍA,DOCTORADO,True,1991.0,13
19,UNFV,DERECHO CONSTITUCIONAL,MAESTRIA,True,2011.0,14
20,UNFV,DERECHO,DOCTORADO,True,2012.0,14
21,USMP,GESTIÓN PÚBLICA,MAESTRIA,True,2023.0,14
22,PUCP,ADMINISTRACION ESTRATEGICA DE EMPRESAS,MAESTRIA,True,,16
23,PUCP,PROPIEDAD INTELECTUAL Y COMPETENCIA,MAESTRIA,True,,16
24,U. EUROPEA DE MADRID,DERECHO DIGITAL TECNOLÓGICO,MAESTRIA,True,,16
25,Universidad del Pacífico,MAGÍSTER EN ADMINISTRACIÓN,MAESTRIA,True,2023.0,17
26,UPC,MAGISTER EN ADMINISTRACION DE EMPRESAS,MAESTRIA,True,2001.0,19
27,INSTITUTO NACIONAL DE INVESTIGACION Y CAPACITACION DE TELECOMUNICACIONES - INICTEL,POST GRADO,,True,,21
28,UNIVERSIDAD CARLOS III DE MADRID - ESPAÑA,MASTER DE GESTION Y ANALISIS DE POLITICAS PUBLICAS,MAESTRIA,True,2009.0,21
29,UNIVERSIDAD DE CHILE,GRADO DE MAGÍSTER EN DERECHO (GRADO DE MAESTRO),MAESTRIA,True,2022.0,22
30,UNIVERSIDAD NACIONAL DEL ALTIPLANO,DERECHO,,False,,22
31,Centro de Altos Estudios Nacionales - CAEN,MAESTRO EN DESARROLLO Y DEFENSA NACIONAL,MAESTRIA,True,2018.0,23
32,Centro de Altos Estudios Nacionales - CAEN,DOCTOR EN DESARROLLO y SEGURIDAD ESTRATEGICA,DOCTORADO,True,2020.0,23
33,CESEDEN - ESPAÑA,CURSO DE ALTOS ESTUDIOS ESTRATEGICOS,ESPECIALIZACION,True,2017.0,23
34,Universidad Nacional Mayor de San Marcos,DOCTOR EN MEDICINA,DOCTORADO,True,2010.0,24
35,Universidad Nacional Mayor de San Marcos,MAGISTER EN NEUROCIENCIAS,MAESTRIA,True,2009.0,24
36,Universidad ESAN,MAGISTER EN ADMINISTRACION,MAESTRIA,True,2003.0,26
37,UNIVERSIDAD NACIONAL ENRIQUE GUZMAN Y VALLE,MAESTRIA EN GESTION PUBLICA,,False,,27
38,The American University,MASTER CIENCIA POLÍTICA,MAESTRIA,True,1990.0,28
39,UNIVERSITY OF FRIBOURG,MÁSTER EN DERECHO,MAESTRIA,True,2018.0,29
40,SWISS BUSSINES SCHOOL,MBA,MAESTRIA,True,2004.0,29
41,Universidad de San Martín de Porres,DOCTOR EN EDUCACIÓN,DOCTORADO,True,2005.0,30
42,Universidad de San Martín de Porres,MAESTRO EN ECONOMÍA,MAESTRÍA,True,2004.0,30
43,PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU,MAESTRIA EN DERECHO CONSTITUCIONAL,,True,,31
44,UNIVERSIDAD SAN MARTÍN DE PORRES,GOBIERNO Y GESTIÓN PÚBLICA,,True,,32
45,Universidad del Pacífico,MAGÍSTER EN ADMINISTRACIÓN,MAESTRÍA,True,,36
