IdVisita,TipoLugar,NombreLugar,IdCandidato
1,DISTRITO,EL AGUSTINO,1
2,DISTRITO,LURIGANCHO-CHOSICA,1
3,DISTRITO,RÍMAC,1
4,PROVINCIA,CONDORCANQUI,1
5,PROVINCIA,MAYNAS,1
6,PROVINCIA,SANTA,1
7,PROVINCIA,MOQUEGUA,1
8,PROVINCIA,TRUJILLO,1
9,PROVINCIA,CHICLAYO,1
10,PROVINCIA,PIURA,1
11,PROVINCIA,TUMBES,1
12,PROVINCIA,SAN ROMÁN,1
13,PROVINCIA,PUNO,1
14,PROVINCIA,ALTO AMAZONAS,1
15,PROVINCIA,CUSCO,1
16,PROVINCIA,SAN IGNACIO,1
17,PROVINCIA,JAÉN,1
18,PROVINCIA,TACNA,1
19,PROVINCIA,URUBAMBA,1
20,PROVINCIA,CALLAO,1
21,REGION,AMAZONAS,1
22,REGION,LORETO,1
23,REGION,ÁNCASH,1
24,REGION,MOQUEGUA,1
25,REGION,LA LIBERTAD,1
26,REGION,LAMBAYEQUE,1
27,REGION,PIURA,1
28,REGION,TUMBES,1
29,REGION,PUNO,1
30,REGION,CUSCO,1
31,REGION,CAJAMARCA,1
32,REGION,TACNA,1
33,DISTRITO,SAN MARTÍN DE PORRES,2
34,DISTRITO,SAN JUAN DE LURIGANCHO,2
35,DISTRITO,PACHACÁMAC,2
36,DISTRITO,VILLA EL SALVADOR,2
37,PROVINCIA,CANCHIS,2
38,PROVINCIA,SANTA,2
39,PROVINCIA,HUARAZ,2
40,PROVINCIA,HUARAL,2
41,PROVINCIA,NAZCA,2
42,PROVINCIA,PALPA,2
43,PROVINCIA,JUNÍN,2
44,PROVINCIA,ZARUMILLA,2
45,PROVINCIA,PIURA,2
46,PROVINCIA,HUÁNUCO,2
47,PROVINCIA,SAN ROMÁN,2
48,PROVINCIA,ANDAHUAYLAS,2
49,PROVINCIA,CUSCO,2
50,REGION,CUSCO,2
51,REGION,ÁNCASH,2
52,REGION,LIMA,2
53,REGION,ICA,2
54,REGION,JUNÍN,2
55,REGION,TUMBES,2
56,REGION,PIURA,2
57,REGION,HUÁNUCO,2
58,REGION,PUNO,2
59,REGION,APURÍMAC,2
60,DISTRITO,VILLA MARÍA DEL TRIUNFO,3
61,DISTRITO,ATE,3
62,DISTRITO,COMAS,3
63,DISTRITO,LOS OLIVOS,3
64,DISTRITO,SAN JUAN DE LURIGANCHO,3
65,DISTRITO,CHORRILLOS,3
66,PROVINCIA,TRUJILLO,3
67,PROVINCIA,BARRANCA,3
68,PROVINCIA,CALLAO,3
69,PROVINCIA,SANTA,3
70,PROVINCIA,JAÉN,3
71,PROVINCIA,HUALLAGA,3
72,PROVINCIA,MOYOBAMBA,3
73,PROVINCIA,SAN MARTÍN,3
74,PROVINCIA,AREQUIPA,3
75,PROVINCIA,ALTO AMAZONAS,3
76,PROVINCIA,TACNA,3
77,PROVINCIA,MAYNAS,3
78,PROVINCIA,CHOTA,3
79,PROVINCIA,LORETO,3
80,PROVINCIA,PIURA,3
81,PROVINCIA,HUANCABAMBA,3
82,PROVINCIA,CHICLAYO,3
83,REGION,LIMA,3
84,REGION,ÁNCASH,3
85,REGION,CAJAMARCA,3
86,REGION,SAN MARTÍN,3
87,REGION,AREQUIPA,3
88,REGION,LORETO,3
89,REGION,TACNA,3
90,REGION,CAJAMARCA,3
91,REGION,PIURA,3
92,REGION,LAMBAYEQUE,3
93,DISTRITO,JESÚS MARÍA,4
94,DISTRITO,PUEBLO LIBRE,4
95,DISTRITO,INDEPENDENCIA,4
96,DISTRITO,LA VICTORIA,4
97,PROVINCIA,PISCO,4
98,PROVINCIA,ICA,4
99,PROVINCIA,CALLAO,4
100,PROVINCIA,TRUJILLO,4
101,PROVINCIA,LAMBAYEQUE,4
102,PROVINCIA,PIURA,4
103,PROVINCIA,TALARA,4
104,PROVINCIA,TACNA,4
105,PROVINCIA,TUMBES,4
106,REGION,MADRE DE DIOS,4
107,REGION,ICA,4
108,REGION,LA LIBERTAD,4
109,REGION,LAMBAYEQUE,4
110,REGION,PIURA,4
111,REGION,TACNA,4
112,REGION,TUMBES,4
113,REGION,LIMA,4
114,DISTRITO,CARABAYLLO,5
115,PROVINCIA,TRUJILLO,5
116,PROVINCIA,PACASMAYO,5
117,PROVINCIA,ASCOPE,5
118,PROVINCIA,SANTA,5
119,PROVINCIA,LA CONVENCIÓN,5
120,REGION,LA LIBERTAD,5
121,REGION,ÁNCASH,5
122,REGION,CUSCO,5
123,REGION,LIMA,5
124,DISTRITO,SAN JUAN DE LURIGANCHO,6
125,DISTRITO,ATE,6
126,PROVINCIA,CHINCHA,6
127,PROVINCIA,HUAURA,6
128,PROVINCIA,CHICLAYO,6
129,PROVINCIA,CASMA,6
130,PROVINCIA,HUARMEY,6
131,PROVINCIA,SANTA,6
132,PROVINCIA,ZARUMILLA,6
133,PROVINCIA,CORONEL PORTILLO,6
134,PROVINCIA,CALLAO,6
135,REGION,ICA,6
136,REGION,LIMA,6
137,REGION,LAMBAYEQUE,6
138,REGION,ÁNCASH,6
139,REGION,TUMBES,6
140,REGION,LORETO,6
141,DISTRITO,PACHACÁMAC,7
142,DISTRITO,VILLA MARÍA DEL TRIUNFO,7
143,PROVINCIA,ESPINAR,7
144,PROVINCIA,CUSCO,7
145,PROVINCIA,CORONEL PORTILLO,7
146,PROVINCIA,PIURA,7
147,PROVINCIA,MAYNAS,7
148,PROVINCIA,JUNÍN,7
149,PROVINCIA,JAUJA,7
150,PROVINCIA,HUANCAYO,7
151,PROVINCIA,PISCO,7
152,PROVINCIA,ICA,7
153,PROVINCIA,ANTA,7
154,PROVINCIA,AREQUIPA,7
155,REGION,CUSCO,7
156,REGION,UCAYALI,7
157,REGION,PIURA,7
158,REGION,LORETO,7
159,REGION,JUNÍN,7
160,REGION,ICA,7
161,REGION,AREQUIPA,7
162,REGION,LIMA,7
163,DISTRITO,CERCADO DE LIMA,8
164,DISTRITO,LURIGANCHO-CHOSICA,8
165,DISTRITO,SAN JUAN DE LURIGANCHO,8
166,PROVINCIA,CHUCUITO,8
167,PROVINCIA,CUSCO,8
168,PROVINCIA,COTABAMBAS,8
169,PROVINCIA,PUNO,8
170,PROVINCIA,CAYLLOMA,8
171,PROVINCIA,CARAVELÍ,8
172,PROVINCIA,ESPINAR,8
173,PROVINCIA,ACOMAYO,8
174,PROVINCIA,CHOTA,8
175,PROVINCIA,SAN ROMÁN,8
176,PROVINCIA,HUANCAVELICA,8
177,PROVINCIA,JUNÍN,8
178,PROVINCIA,CHANCHAMAYO,8
179,PROVINCIA,HUAMANGA,8
180,PROVINCIA,HUARMEY,8
181,PROVINCIA,VIRÚ,8
182,PROVINCIA,TUMBES,8
183,PROVINCIA,PIURA,8
184,PROVINCIA,CHUMBIVILCAS,8
185,REGION,PUNO,8
186,REGION,CUSCO,8
187,REGION,APURÍMAC,8
188,REGION,AREQUIPA,8
189,REGION,CAJAMARCA,8
190,REGION,HUANCAVELICA,8
191,REGION,JUNÍN,8
192,REGION,AYACUCHO,8
193,REGION,ÁNCASH,8
194,REGION,LA LIBERTAD,8
195,REGION,TUMBES,8
196,REGION,PIURA,8
197,REGION,LIMA,8
198,DISTRITO,SAN JUAN DE LURIGANCHO,9
199,DISTRITO,INDEPENDENCIA,9
200,PROVINCIA,HUÁNUCO,9
201,PROVINCIA,CHINCHA,9
202,PROVINCIA,SAN MARTÍN,9
203,PROVINCIA,LEONCIO PRADO,9
204,PROVINCIA,CORONEL PORTILLO,9
205,PROVINCIA,CAJAMARCA,9
206,PROVINCIA,CHOTA,9
207,PROVINCIA,CONTUMAZÁ,9
208,PROVINCIA,CANCHIS,9
209,PROVINCIA,CUSCO,9
210,PROVINCIA,ESPINAR,9
211,PROVINCIA,CALCA,9
212,PROVINCIA,SAN ROMÁN,9
213,PROVINCIA,TUMBES,9
214,REGION,HUÁNUCO,9
215,REGION,ICA,9
216,REGION,SAN MARTÍN,9
217,REGION,UCAYALI,9
218,REGION,CAJAMARCA,9
219,REGION,CUSCO,9
220,REGION,PUNO,9
221,REGION,LIMA,9
222,REGION,TUMBES,9
223,DISTRITO,BREÑA,10
224,PROVINCIA,PUNO,10
225,PROVINCIA,HUAMANGA,10
226,PROVINCIA,CUSCO,10
227,PROVINCIA,LA CONVENCIÓN,10
228,PROVINCIA,TRUJILLO,10
229,PROVINCIA,SANTA,10
230,PROVINCIA,TUMBES,10
231,PROVINCIA,CORONEL PORTILLO,10
232,PROVINCIA,CALLAO,10
233,PROVINCIA,CHICLAYO,10
234,PROVINCIA,ASCOPE,10
235,PROVINCIA,SANTIAGO DE CHUCO,10
236,PROVINCIA,VIRÚ,10
237,PROVINCIA,AREQUIPA,10
238,PROVINCIA,SECHURA,10
239,PROVINCIA,MORROPÓN,10
240,REGION,PUNO,10
241,REGION,AYACUCHO,10
242,REGION,CUSCO,10
243,REGION,LA LIBERTAD,10
244,REGION,ÁNCASH,10
245,REGION,TUMBES,10
246,REGION,UCAYALI,10
247,REGION,LAMBAYEQUE,10
248,REGION,AREQUIPA,10
249,REGION,PIURA,10
250,REGION,LIMA,10
251,DISTRITO,CERCADO DE LIMA,11
252,PROVINCIA,SAN ROMÁN,11
253,PROVINCIA,PUNO,11
254,REGION,CAJAMARCA,11
255,REGION,PUNO,11
256,DISTRITO,LA VICTORIA,12
257,DISTRITO,CERCADO DE LIMA,12
258,DISTRITO,SAN JUAN DE LURIGANCHO,12
259,PROVINCIA,CAJAMARCA,12
260,PROVINCIA,JAÉN,12
261,PROVINCIA,PUNO,12
262,PROVINCIA,MAYNAS,12
263,PROVINCIA,SANTA,12
264,REGION,CAJAMARCA,12
265,REGION,PUNO,12
266,REGION,LORETO,12
267,REGION,ÁNCASH,12
268,PROVINCIA,SAN ROMÁN,13
269,REGION,PUNO,13
270,DISTRITO,CERCADO DE LIMA,14
271,DISTRITO,SANTIAGO DE SURCO,14
